,S.NO,Insurance Name,Age,Profile,Government/Private,Health Condition,Coverage
291,291,Health ReAssure (Direct) by Niva Bupa,18-65,Self,private,Diabetes,500000
292,292,Senior First Platinum by Niva Bupa,18-65,Self,private,Others,500000
293,293,Senior First gold by Niva Bupa,18-65,Self,private,Others,500000
294,294,Health ReAssure by Niva Bupa,18-65,Self,private,Hypertension,500000
295,295,Health ReAssure (Direct) by Niva Bupa,18-65,Self,private,Hypertension,500000
296,296,Health ReAssure by Niva Bupa,18-65,Self and Spouse,private,Diabetes,500000
297,297,Health ReAssure (Direct) by Niva Bupa,18-65,Self and Spouse,private,Diabetes,500000
298,298,Health ReAssure by Niva Bupa,18-65,Self and Spouse,private,Hypertension,500000
299,299,Health ReAssure (Direct) by Niva Bupa,18-65,Self and Spouse,private,Hypertension,500000
300,300,Health ReAssure by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Diabetes,500000
301,301,Health ReAssure (Direct) by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Diabetes,500000
302,302,Health ReAssure by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Hypertension,500000
303,303,Health ReAssure (Direct) by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Hypertension,500000
304,304,Health ReAssure by Niva Bupa,18-65,Self and Spouse and 2Kids,private,Diabetes,500000
305,305,Health ReAssure (Direct) by Niva Bupa,18-65,Self and Spouse and 2Kids,private,Diabetes,500000
306,306,Health ReAssure by Niva Bupa,18-65,Self and Spouse and 2Kids,private,Hypertension,500000
307,307,Health ReAssure (Direct) by Niva Bupa,18-65,Self and Spouse and 2Kids,private,Hypertension,500000
308,308,Aspire Gold+ (Direct) by Niva Bupa,18-65,Senior Citizen,private,Diabetes,500000
309,309,ReAssure 2.0 Bronze+ (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,500000
310,310,ReAssure 2.0 Platinum (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,500000
311,311,ReAssure 2.0 Titanium+ (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,500000
312,312,Aspire Diamond+ (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,500000
313,313,Aspire Platinum+ (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,500000
314,314,Aspire Titanium+ (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,500000
315,315,ReAssure 2.0 Bronze+  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,500000
316,316,ReAssure 2.0 Platinum  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,500000
317,317,ReAssure 2.0 Titanium+  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,500000
318,318,Aspire Gold+  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,500000
319,319,Aspire Diamond+  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,500000
320,320,Aspire Platinum+  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,500000
321,321,Aspire Titanium+  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,500000
322,322,Health ReAssure  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,500000
323,323, Health ReAssure (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,500000
324,324,Aspire Gold+ (Direct) by Niva Bupa,18-65,Senior Citizen,private,Hypertension,500000
325,325,ReAssure 2.0 Bronze+ (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,500000
326,326,ReAssure 2.0 Platinum (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,500000
327,327,ReAssure 2.0 Titanium+ (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,500000
328,328,Aspire Diamond+ (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,500000
329,329,Aspire Platinum+ (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,500000
330,330,Aspire Titanium+ (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,500000
331,331,ReAssure 2.0 Bronze+  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,500000
332,332,ReAssure 2.0 Platinum  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,500000
333,333,ReAssure 2.0 Titanium+  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,500000
334,334,Aspire Gold+  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,500000
335,335,Aspire Diamond+  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,500000
336,336,Aspire Platinum+  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,500000
337,337,Aspire Titanium+  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,500000
338,338,Health ReAssure  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,500000
339,339, Health ReAssure (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,500000
340,340,Senior First Platinum by Niva Bupa,18-75,Self,private,Diabetes,500000
341,341,Senior First gold by Niva Bupa,18-75,Self,private,Diabetes,500000
342,342,Health ReAssure by Niva Bupa,18-75,Self,private,Diabetes,500000
343,343,Health ReAssure (Direct) by Niva Bupa,18-75,Self,private,Diabetes,500000
344,344,Senior First Platinum by Niva Bupa,18-75,Self,private,Diabetes,10000000
345,345,Senior First gold by Niva Bupa,18-75,Self,private,Diabetes,10000000
346,346,Health ReAssure by Niva Bupa,18-75,Self,private,Diabetes,10000000
347,347,Health ReAssure (Direct) by Niva Bupa,18-75,Self,private,Diabetes,10000000
348,348,ReAssure 2.0 Platinum (Direct)  by Niva Bupa,18-75,Self,private,Diabetes,10000000
349,349,ReAssure 2.0 Titanium+ (Direct)  by Niva Bupa,18-75,Self,private,Diabetes,10000000
350,350,Aspire Diamond+ (Direct)  by Niva Bupa,18-75,Self,private,Diabetes,10000000
351,351,Aspire Platinum+ (Direct)  by Niva Bupa,18-75,Self,private,Diabetes,10000000
352,352,Aspire Titanium+ (Direct)  by Niva Bupa,18-75,Self,private,Diabetes,10000000
353,353,ReAssure 2.0 Bronze+  by Niva Bupa,18-75,Self,private,Diabetes,10000000
354,354,ReAssure 2.0 Platinum  by Niva Bupa,18-75,Self,private,Diabetes,10000000
355,355,ReAssure 2.0 Titanium+  by Niva Bupa,18-75,Self,private,Diabetes,10000000
356,356,Aspire Gold+  by Niva Bupa,18-75,Self,private,Diabetes,10000000
357,357,Aspire Diamond+  by Niva Bupa,18-75,Self,private,Diabetes,10000000
358,358,Aspire Platinum+  by Niva Bupa,18-75,Self,private,Diabetes,10000000
359,359,Aspire Titanium+  by Niva Bupa,18-75,Self,private,Diabetes,10000000
360,360,Health ReAssure  by Niva Bupa,18-75,Self,private,Diabetes,10000000
361,361, Health ReAssure (Direct)  by Niva Bupa,18-75,Self,private,Diabetes,10000000
362,362,Health Gain by Reliance,18-75,Self,private,Diabetes,10000000
363,363,Health ReAssure (Direct) by Niva Bupa,18-75,Self,private,Hypertension,10000000
364,364,ReAssure 2.0 Platinum (Direct)  by Niva Bupa,18-75,Self,private,Hypertension,10000000
365,365,ReAssure 2.0 Titanium+ (Direct)  by Niva Bupa,18-75,Self,private,Hypertension,10000000
366,366,Aspire Diamond+ (Direct)  by Niva Bupa,18-75,Self,private,Hypertension,10000000
367,367,Aspire Platinum+ (Direct)  by Niva Bupa,18-75,Self,private,Hypertension,10000000
368,368,Aspire Titanium+ (Direct)  by Niva Bupa,18-75,Self,private,Hypertension,10000000
369,369,ReAssure 2.0 Bronze+  by Niva Bupa,18-75,Self,private,Hypertension,10000000
370,370,ReAssure 2.0 Platinum  by Niva Bupa,18-75,Self,private,Hypertension,10000000
371,371,ReAssure 2.0 Titanium+  by Niva Bupa,18-75,Self,private,Hypertension,10000000
372,372,Aspire Gold+  by Niva Bupa,18-75,Self,private,Hypertension,10000000
373,373,Aspire Diamond+  by Niva Bupa,18-75,Self,private,Hypertension,10000000
374,374,Aspire Platinum+  by Niva Bupa,18-75,Self,private,Hypertension,10000000
375,375,Aspire Titanium+  by Niva Bupa,18-75,Self,private,Hypertension,10000000
376,376,Health ReAssure  by Niva Bupa,18-75,Self,private,Hypertension,10000000
377,377, Health ReAssure (Direct)  by Niva Bupa,18-75,Self,private,Hypertension,10000000
378,378,Health Gain by Reliance,18-75,Self,private,Hypertension,10000000
379,379,Health ReAssure by Niva Bupa,18-75,Self,private,Diabetes,10000000
380,380,Health Companion by Niva Bupa,18-75,Self,private,Diabetes,10000000
381,381,Health ReAssure (Direct) by Niva Bupa,18-75,Self,private,Diabetes,10000000
382,382,Health ReAssure by Niva Bupa,18-75,Self,private,Hypertension,10000000
383,383,Health Companion by Niva Bupa,18-75,Self,private,Hypertension,10000000
384,384,Health ReAssure (Direct) by Niva Bupa,18-75,Self,private,Hypertension,10000000
385,385,ReAssure 2.0 Platinum (Direct)  by Niva Bupa,18-65,Self and Spouse,private,Diabetes,10000000
386,386,ReAssure 2.0 Titanium+ (Direct)  by Niva Bupa,18-65,Self and Spouse,private,Diabetes,10000000
387,387,Aspire Diamond+ (Direct)  by Niva Bupa,18-65,Self and Spouse,private,Diabetes,10000000
388,388,Aspire Platinum+ (Direct)  by Niva Bupa,18-65,Self and Spouse,private,Diabetes,10000000
389,389,Aspire Titanium+ (Direct)  by Niva Bupa,18-65,Self and Spouse,private,Diabetes,10000000
390,390,ReAssure 2.0 Bronze+  by Niva Bupa,18-65,Self and Spouse,private,Diabetes,10000000
391,391,ReAssure 2.0 Platinum  by Niva Bupa,18-65,Self and Spouse,private,Diabetes,10000000
392,392,ReAssure 2.0 Titanium+  by Niva Bupa,18-65,Self and Spouse,private,Diabetes,10000000
393,393,Aspire Gold+  by Niva Bupa,18-65,Self and Spouse,private,Diabetes,10000000
394,394,Aspire Diamond+  by Niva Bupa,18-65,Self and Spouse,private,Diabetes,10000000
395,395,Aspire Platinum+  by Niva Bupa,18-65,Self and Spouse,private,Diabetes,10000000
396,396,Aspire Titanium+  by Niva Bupa,18-65,Self and Spouse,private,Diabetes,10000000
397,397,Health ReAssure  by Niva Bupa,18-65,Self and Spouse,private,Diabetes,10000000
398,398, Health ReAssure (Direct) by Niva Bupa,18-65,Self and Spouse,private,Diabetes,10000000
399,399,Health Gain by Reliance,18-65,Self and Spouse,private,Diabetes,10000000
400,400,Health ReAssure (Direct) by Niva Bupa,18-65,Self and Spouse,private,Hypertension,10000000
401,401,ReAssure 2.0 Platinum (Direct)  by Niva Bupa,18-65,Self and Spouse,private,Hypertension,10000000
402,402,ReAssure 2.0 Titanium+ (Direct)  by Niva Bupa,18-65,Self and Spouse,private,Hypertension,10000000
403,403,Aspire Diamond+ (Direct)  by Niva Bupa,18-65,Self and Spouse,private,Hypertension,10000000
404,404,Aspire Platinum+ (Direct)  by Niva Bupa,18-65,Self and Spouse,private,Hypertension,10000000
405,405,Aspire Titanium+ (Direct)  by Niva Bupa,18-65,Self and Spouse,private,Hypertension,10000000
406,406,ReAssure 2.0 Bronze+  by Niva Bupa,18-65,Self and Spouse,private,Hypertension,10000000
407,407,ReAssure 2.0 Platinum  by Niva Bupa,18-65,Self and Spouse,private,Hypertension,10000000
408,408,ReAssure 2.0 Titanium+  by Niva Bupa,18-65,Self and Spouse,private,Hypertension,10000000
409,409,Aspire Gold+  by Niva Bupa,18-65,Self and Spouse,private,Hypertension,10000000
410,410,Aspire Diamond+  by Niva Bupa,18-65,Self and Spouse,private,Hypertension,10000000
411,411,Aspire Platinum+  by Niva Bupa,18-65,Self and Spouse,private,Hypertension,10000000
412,412,Aspire Titanium+  by Niva Bupa,18-65,Self and Spouse,private,Hypertension,10000000
413,413,Health ReAssure  by Niva Bupa,18-65,Self and Spouse,private,Hypertension,10000000
414,414, Health ReAssure (Direct)  by Niva Bupa,18-65,Self and Spouse,private,Hypertension,10000000
415,415,Health Gain by Reliance,18-65,Self and Spouse,private,Hypertension,10000000
416,416,ReAssure 2.0 Platinum (Direct) by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Diabetes,10000000
417,417,ReAssure 2.0 Titanium+ (Direct)  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Diabetes,10000000
418,418,Aspire Diamond+ (Direct)  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Diabetes,10000000
419,419,Aspire Platinum+ (Direct)  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Diabetes,10000000
420,420,Aspire Titanium+ (Direct)  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Diabetes,10000000
421,421,ReAssure 2.0 Bronze+  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Diabetes,10000000
422,422,ReAssure 2.0 Platinum  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Diabetes,10000000
423,423,ReAssure 2.0 Titanium+  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Diabetes,10000000
424,424,Aspire Gold+  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Diabetes,10000000
425,425,Aspire Diamond+  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Diabetes,10000000
426,426,Aspire Platinum+  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Diabetes,10000000
427,427,Aspire Titanium+  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Diabetes,10000000
428,428,Health ReAssure  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Diabetes,10000000
429,429, Health ReAssure (Direct) by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Diabetes,10000000
430,430,Health Gain by Reliance,18-65,Self and Spouse and 1Kid,private,Diabetes,10000000
431,431,Health ReAssure (Direct),18-65,Self and Spouse and 1Kid,private,Hypertension,10000000
432,432,ReAssure 2.0 Platinum (Direct)  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Hypertension,10000000
433,433,ReAssure 2.0 Titanium+ (Direct)  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Hypertension,10000000
434,434,Aspire Diamond+ (Direct)  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Hypertension,10000000
435,435,Aspire Platinum+ (Direct)  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Hypertension,10000000
436,436,Aspire Titanium+ (Direct)  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Hypertension,10000000
437,437,ReAssure 2.0 Bronze+  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Hypertension,10000000
438,438,ReAssure 2.0 Platinum  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Hypertension,10000000
439,439,ReAssure 2.0 Titanium+  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Hypertension,10000000
440,440,Aspire Gold+  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Hypertension,10000000
441,441,Aspire Diamond+  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Hypertension,10000000
442,442,Aspire Platinum+  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Hypertension,10000000
443,443,Aspire Titanium+  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Hypertension,10000000
444,444,Health ReAssure  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Hypertension,10000000
445,445, Health ReAssure (Direct)  by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Hypertension,10000000
446,446,Health Gain by Reliance,18-65,Self and Spouse and 1Kid,private,Hypertension,10000000
447,447,ReAssure 2.0 Platinum (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,10000000
448,448,ReAssure 2.0 Titanium+ (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,10000000
449,449,Aspire Diamond+ (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,10000000
450,450,Aspire Platinum+ (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,10000000
451,451,Aspire Titanium+ (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,10000000
452,452,ReAssure 2.0 Bronze+  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,10000000
453,453,ReAssure 2.0 Platinum  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,10000000
454,454,ReAssure 2.0 Titanium+  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,10000000
455,455,Aspire Gold+  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,10000000
456,456,Aspire Diamond+  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,10000000
457,457,Aspire Platinum+  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,10000000
458,458,Aspire Titanium+  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,10000000
459,459,Health ReAssure  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,10000000
460,460, Health ReAssure (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Diabetes,10000000
461,461,Health Gain by Reliance,18-65,Senior Citizen,private,Diabetes,10000000
462,462,Health ReAssure (Direct),18-65,Senior Citizen,private,Hypertension,10000000
463,463,ReAssure 2.0 Platinum (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,10000000
464,464,ReAssure 2.0 Titanium+ (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,10000000
465,465,Aspire Diamond+ (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,10000000
466,466,Aspire Platinum+ (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,10000000
467,467,Aspire Titanium+ (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,10000000
468,468,ReAssure 2.0 Bronze+  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,10000000
469,469,ReAssure 2.0 Platinum  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,10000000
470,470,ReAssure 2.0 Titanium+  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,10000000
471,471,Aspire Gold+  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,10000000
472,472,Aspire Diamond+  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,10000000
473,473,Aspire Platinum+  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,10000000
474,474,Aspire Titanium+  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,10000000
475,475,Health ReAssure  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,10000000
476,476, Health ReAssure (Direct)  by Niva Bupa,18-65,Senior Citizen,private,Hypertension,10000000
477,477,Health Gain by Reliance,18-65,Senior Citizen,private,Hypertension,10000000
478,478,Health Premia by Niva Bupa,18-65,Self,private,Diabetes,20000000
479,479,Health Infinity (More Time) by Niva Bupa,18-65,Self,private,Diabetes,20000000
480,480,Health Infinity (More Cover) by Niva Bupa,18-65,Self,private,Diabetes,20000000
481,481,Health Infinity (More Global) by Niva Bupa,18-65,Self,private,Diabetes,20000000
482,482,Health Premia by Niva Bupa,18-65,Self,private,Hypertension,20000000
483,483,Health Infinity (More Time) by Niva Bupa,18-65,Self,private,Hypertension,20000000
484,484,Health Infinity (More Cover) by Niva Bupa,18-65,Self,private,Hypertension,20000000
485,485,Health Infinity (More Global) by Niva Bupa,18-65,Self,private,Hypertension,20000000
486,486,Health Premia by Niva Bupa,18-65,Self and Spouse,private,Diabetes,20000000
487,487,Health Infinity (More Time) by Niva Bupa,18-65,Self and Spouse,private,Diabetes,20000000
488,488,Health Infinity (More Cover) by Niva Bupa,18-65,Self and Spouse,private,Diabetes,20000000
489,489,Health Infinity (More Global) by Niva Bupa,18-65,Self and Spouse,private,Diabetes,20000000
490,490,Health Premia by Niva Bupa,18-65,Self and Spouse,private,Hypertension,20000000
491,491,Health Infinity (More Time) by Niva Bupa,18-65,Self and Spouse,private,Hypertension,20000000
492,492,Health Infinity (More Cover) by Niva Bupa,18-65,Self and Spouse,private,Hypertension,20000000
493,493,Health Infinity (More Global) by Niva Bupa,18-65,Self and Spouse,private,Hypertension,20000000
494,494,Health Premia by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Diabetes,20000000
495,495,Health Infinity (More Time) by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Diabetes,20000000
496,496,Health Infinity (More Cover) by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Diabetes,20000000
497,497,Health Infinity (More Global) by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Diabetes,20000000
498,498,Health Premia by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Hypertension,20000000
499,499,Health Infinity (More Time) by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Hypertension,20000000
500,500,Health Infinity (More Cover) by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Hypertension,20000000
501,501,Health Infinity (More Global) by Niva Bupa,18-65,Self and Spouse and 1Kid,private,Hypertension,20000000
502,502,Health Premia by Niva Bupa,18-65,Senior Citizen,private,Diabetes,20000000
503,503,Health Infinity (More Time) by Niva Bupa,18-65,Senior Citizen,private,Diabetes,20000000
504,504,Health Infinity (More Cover) by Niva Bupa,18-65,Senior Citizen,private,Diabetes,20000000
505,505,Health Infinity (More Global) by Niva Bupa,18-65,Senior Citizen,private,Diabetes,20000000
506,506,Health Premia by Niva Bupa,18-65,Senior Citizen,private,Hypertension,20000000
507,507,Health Infinity (More Time) by Niva Bupa,18-65,Senior Citizen,private,Hypertension,20000000
508,508,Health Infinity (More Cover) by Niva Bupa,18-65,Senior Citizen,private,Hypertension,20000000
509,509,Health Infinity (More Global) by Niva Bupa,18-65,Senior Citizen,private,Hypertension,20000000
510,510,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self,Private,Diabetes,500000
511,511,Activ Health Platinum Essential by Aditya Birla,18-75,Senior Citizen,Private,Diabetes,500000
512,512,Activ Care Standard by Aditya Birla,18-75,Senior Citizen,Private,Diabetes,500000
513,513,Activ Care Classic by Aditya Birla,18-75,Senior Citizen,Private,Diabetes,500000
514,514,Activ Care Premier by Aditya Birla,18-75,Senior Citizen,Private,Diabetes,500000
515,515,Activ Health Platinum Essential by Aditya Birla,18-75,Senior Citizen,Private,Hypertension,500000
516,516,Activ Care Standard by Aditya Birla,18-75,Senior Citizen,Private,Hypertension,500000
517,517, by Aditya Birla,18-75,Senior Citizen,Private,Hypertension,500000
518,518,Activ Care Premier by Aditya Birla,18-75,Senior Citizen,Private,Hypertension,500000
519,519,Activ Assure - Diamond by Aditya Birla,18-75,Senior Citizen,Private,Others,500000
520,520,Activ Health Platinum Enhanced by Aditya Birla,18-75,Parents,Private,Diabetes,500000
521,521,Activ Health Platinum Enhanced by Aditya Birla,18-75,Parents,Private,Hypertension,500000
522,522,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Diabetes,500000
523,523,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Hypertension,500000
524,524,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Diabetes,500000
525,525,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Hypertension,500000
526,526,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Diabetes,500000
527,527,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Hypertension,500000
528,528,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Diabetes,500000
529,529,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Hypertension,500000
530,530,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self,Private,Diabetes,500000
531,531,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self,Private,Hypertension,500000
532,532,Activ Health Platinum Essential by Aditya Birla,18-75,Self,Private,Diabetes,500000
533,533,Activ Health Platinum Essential by Aditya Birla,18-75,Self,Private,Hypertension,500000
534,534,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse,Private,Diabetes,1000000
535,535,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse,Private,Hypertension,1000000
536,536,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse,Private,Diabetes,1000000
537,537,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse,Private,Hypertension,1000000
538,538,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Diabetes,1000000
539,539,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Hypertension,1000000
540,540,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Diabetes,1000000
541,541,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse and 1Kid,Private,Hypertension,1000000
542,542,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Diabetes,1000000
543,543,Activ Health Platinum Enhanced by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Hypertension,1000000
544,544,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Diabetes,1000000
545,545,Activ Health Platinum Essential by Aditya Birla,18-75,Self and Spouse and 2Kids,Private,Hypertension,1000000
546,546,Activ Health Platinum Enhanced by Aditya Birla,18-75,Parents,Private,Diabetes,1000000
547,547,Activ Health Platinum Enhanced by Aditya Birla,18-75,Parents,Private,Hypertension,1000000
548,548,Activ Health Platinum Essential by Aditya Birla,18-75,Parents,Private,Diabetes,1000000
549,549,Activ Health Platinum Essential by Aditya Birla,18-75,Parents,Private,Hypertension,1000000
550,550,Activ One VYTL(Diabetes) by Aditya Birla,18-75,Senior Citizen,Private,Diabetes,1000000
551,551,Activ Health Platinum Enhanced by Aditya Birla,18-75,Senior Citizen,Private,Diabetes,1000000
552,552,Activ Health Platinum Essential by Aditya Birla,18-75,Senior Citizen,Private,Diabetes,1000000
553,553,Activ Care Standard by Aditya Birla,18-75,Senior Citizen,Private,Diabetes,1000000
554,554,Activ Care Classic by Aditya Birla,18-75,Senior Citizen,Private,Diabetes,1000000
555,555,Activ Care Premierby Aditya Birla,18-75,Senior Citizen,Private,Diabetes,1000000
556,556,Activ Health Platinum Enhanced by Aditya Birla,18-75,Senior Citizen,Private,Hypertension,1000000
557,557,Activ Health Platinum Essential by Aditya Birla,18-75,Senior Citizen,Private,Hypertension,1000000
558,558,Activ Care Standard by Aditya Birla,18-75,Senior Citizen,Private,Hypertension,1000000
559,559,Activ Care Classic by Aditya Birla,18-75,Senior Citizen,Private,Hypertension,1000000
560,560,Activ Care Premierby Aditya Birla,18-75,Senior Citizen,Private,Hypertension,1000000
561,561,Activ Health Platinum Enhanced by Aditya Birla,18-75,Senior Citizen,Private,Diabetes,2000000
562,562,Activ Health Platinum Essential by Aditya Birla,18-75,Senior Citizen,Private,Diabetes,2000000
563,563,Activ Health Platinum Enhanced by Aditya Birla,18-75,Senior Citizen,Private,Hypertension,2000000
564,564,Activ Health Platinum Essential by Aditya Birla,18-75,Senior Citizen,Private,Hypertension,2000000
565,565,Activ One by Aditya Birla,18-75,Senior Citizen,Private,Others,2000000
566,566,Activ One VYTL(Hypertension) by Aditya Birla,18-75,Senior Citizen,Private,Hypertension,2000000
567,567,Activ One VYTL(PTCA) by Aditya Birla,18-75,Senior Citizen,Private,Hypertension,2000000
568,568,Activ Assure - Diamond by Aditya Birla,18-75,Senior Citizen,Private,Others,2000000
569,569,Activ Health Platinum Enhanced by Aditya Birla,18-75,Senior Citizen,Private,Diabetes,3000000
570,570,Activ Health Platinum Essential by Aditya Birla,18-75,Senior Citizen,Private,Diabetes,3000000
571,571,Activ Health Platinum Enhanced by Aditya Birla,18-75,Senior Citizen,Private,Hypertension,3000000
572,572,Activ Health Platinum Essential by Aditya Birla,18-75,Senior Citizen,Private,Hypertension,3000000
573,573,Activ Assure - Diamond by Aditya Birla,18-75,Senior Citizen,Private,Others,3000000
574,574,Activ Health Platinum Enhanced by Aditya Birla,18-75,Parents,Private,Hypertension,3000000
